Schaltschrank				
	Hauptschalter 63 A, 4polig, Typ PN1-4-63	E-HS-E-GG-4-063-002	7354	41,8
	Hauptschalter 100 A, 4polig, Typ PN1-4-100	E-HS-E-GG-4-100-002	7355	179,14
	Hauptschalter 125 A, 4polig, Typ PN1-4-125	E-HS-E-GG-4-125-002	7356	156,32
	EATON Leistungssch. NZMN2-4-A250	E-HS-E-GG-4-250-001	53015	830,51
Hauptschalter mit Nocken				
	Hauptschalter 25 A Einbau Rot MOE P1-25/EA/SVB	E-HS-E-R-3-025-001	7358	24,5588
	Hauptschalter 15/63 MOE P3-63/EA/SVB	E-HS-E-R-3-063	7359	65,8316
	Hauptschalter Einbau 100A P3-100/EA/SVB	E-HS-E-R-3-100-001	7361	92,655
Sicherungsautomaten				
	Automat 1-pol. C6 Ampere Moeller PXL-C6/1	E-SI-LS-1-06-C-001	8099	6,41
	Automat 3-pol. 16A C Moeller PXL-C16/3	E-SI-LS-3-016-C-001	8104	15,58
	Automat 3-pol. 20A C Moeller PXL-C20/3	E-SI-LS-3-020-C-001	8105	22,78
	Automat 3-pol. 25A C Moeller PXL-C25/3	E-SI-LS-3-025-C-001	8106	24,89
	Moeller-Leitungsschutzschalter 3 pol. PXL C32-3   32A 3pol	E-SI-LS-3-032-C-001	8107	26,05
	Automat 3-pol. 63A C Moeller PXL-C63/3	E-SI-LS-3-063-C-001	8110	97,11
	Phoenix E.Geräteschutzschalter	E-SV-4K-002	19702	60,63
Leistungsschütz				
	Moeller DILMC9-01(24VDC) Leistungsschütz	E-SL-DC-024-3S-1OE-040-02	8145	29,2144
	Moeller DILMC12-01(24VDC) Leistungsschüt	E-SL-DC-024-3S-1OE-055-02	8147	35,4506
	Moeller DILMC17-01(RDC24) Leistungsschüt	E-SL-DC-024-3S-1OE-075-03	8150	67,67
	Moeller DILM25-01(RDC24) Leistungsschütz 11 kW, 24 VDC,3 Schließer, 1 Öffner	E-SL-DC-024-3S-1OE-110-01	8151	100,98
	Moeller DILM32-01(RDC24) Leistungsschütz 15 kW, 24 VDC,3 Schließer, 1 Öffner	E-SL-DC-024-3S-1OE-150-01	8152	113,775
	Moeller DILM50(RDC24) Leistungsschütz 22 kW, 24V DC, 3 Schließer	E-SL-DC-024-3S-220-01	8153	208,626
Frequenzumrichter				
	stat. Frequenzumrichter 4,0 kW  KEB F6 S6	E-FU-0400-3-K-C	57337	569
	stat. Frequenzumrichter 5,5 kW  KEB F6 S6	E-FU-0550-3-K-C	54156	605
	stat. Frequenzumrichter 7,5 kW  KEB F6 S6	E-FU-0750-3-K-C	57338	642
	stat. Frequenzumrichter 11 kW  KEB F6 S6	E-FU-11000-3-K-C	54159	720
	stat. Frequenzumrichter 15 kW  KEB F6 S6	E-FU-15000-3-K-C	57339	794
	stat. Frequenzumrichter 22 kW  KEB F6 S6	E-FU-22000-3-K	57340	0
	KEB COMBIVERT F5 Profinet Operator	E-FU-K-PN-001	7308	123
	KEB Schirmanbindung für FU 4KW-7,5 KW	E-FU-K-SA-001	7309	5
	KEB Schirmanbindung für FU 11KW+15 KW	E-FU-K-SA-002	7310	6
	KEB Schirmanbindung für FU 22KW	E-FU-K-SA-003	15288	6
	Sinusfilter 13Z1G04-1000	E-SF-13Z-001	43657	297
	Bremswiderstand 82 Ohm KEB 12.F5.D90-4300-5,5KW (bei 12-Finger Grobsieb)	E-FU-ZUB-BW-082-001	7323	35,7
	Bremswiderstand 30 Ohm KEB 15.F5.E90-4300-15KW (bei 12-Finger Grobsieb)	E-FU-ZUB-BW-030-001	15289	63
	Danfoss FU 4 kW 600V 50-60Hz Typ FC302	E-FU-0400-3-D-001	23537	
	Danfoss FU 5,5 kW 600V 50-60Hz Typ FC302	E-FU-0550-3-D-001	23538	
	Danfoss FU 11 kW 600V 50-60Hz Typ FC302	E-FU-1100-3-D-001	48450	
	Danfoss FU 15 kW 600V 50-60Hz Typ FC302	E-FU-1500-3-D-001	23539	
	Danfoss Profinet Karte Option MCA 120	E-FU-D-PN-001	49146	
Motorschutzschalter				
	Motorschutzschalter PKZM0-0,25	E-MS-S-0016-0025-002	7660	43,2085
